tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,original_language,is_franchise,budget,revenue,saga_position
tt0113277,movie,Heat,1995,170,"Action,Crime,Drama",8.3,809245,en,True,60000000.0,187400000.0,1.0
tt0113497,movie,Jumanji,1995,104,"Adventure,Comedy,Family",7.1,415351,en,True,65000000.0,262821940.0,1.0
tt0113568,movie,Ghost in the Shell,1995,83,"Action,Animation,Crime",7.9,174734,ja,True,3000000.0,10000000.0,1.0
tt0113762,movie,The Mangler,1995,106,"Drama,Horror,Mystery",4.5,10826,en,True,0.0,1781383.0,1.0
tt0113820,movie,Mighty Morphin Power Rangers: The Movie,1995,95,"Action,Adventure,Family",5.3,32093,en,True,15000000.0,66433194.0,1.0
tt0113855,movie,Mortal Kombat,1995,101,"Action,Adventure,Fantasy",5.9,134893,en,True,18000000.0,122195920.0,1.0
tt0113957,movie,The Net,1995,114,"Action,Crime,Drama",6.0,80136,en,True,22000000.0,110627965.0,1.0
tt0114148,movie,Pocahontas,1995,81,"Adventure,Animation,Drama",6.7,218555,en,True,55000000.0,346079773.0,1.0
tt0114194,movie,The Prophecy,1995,98,"Action,Crime,Drama",6.4,35748,en,True,8000000.0,16115878.0,1.0
tt0114367,movie,Screamers,1995,108,"Horror,Sci-Fi,Thriller",6.3,31846,en,True,20000000.0,5781885.0,1.0
tt0114436,movie,Showgirls,1995,131,Drama,5.2,82467,en,True,45000000.0,20367472.0,1.0
tt0114478,movie,Smoke,1995,112,"Comedy,Drama",7.4,38840,en,True,7000000.0,8349430.0,1.0
tt0114508,movie,Species,1995,108,"Action,Horror,Sci-Fi",5.9,91092,en,True,35000000.0,113400000.0,1.0
tt0114563,movie,Street Fighter II: The Animated Movie,1994,102,"Action,Adventure,Animation",7.2,11231,ja,True,6000000.0,29000000.0,1.0
tt0114608,movie,Tales from the Crypt: Demon Knight,1995,92,"Action,Fantasy,Horror",6.7,28696,en,True,13000000.0,21089146.0,1.0
tt0114609,movie,Tales from the Hood,1995,98,"Crime,Drama,Horror",6.6,11226,en,True,6000000.0,12000000.0,1.0
tt0114709,movie,Toy Story,1995,81,"Adventure,Animation,Comedy",8.3,1183556,en,True,30000000.0,401157969.0,1.0
tt0114781,movie,Under Siege 2: Dark Territory,1995,100,"Action,Adventure,Thriller",5.6,53501,en,True,60000000.0,104324083.0,2.0
