tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0031762,movie,Only Angels Have Wings,1939,121,"Adventure,Drama,Romance",7.6,17452
tt0031867,movie,The Roaring Twenties,1939,106,"Crime,Drama,Thriller",7.9,17509
tt0031885,movie,The Rules of the Game,1939,110,"Comedy,Drama",7.9,33469
tt0031951,movie,Son of Frankenstein,1939,99,"Drama,Horror,Sci-Fi",7.1,13478
tt0031971,movie,Stagecoach,1939,96,"Adventure,Drama,Western",7.8,59186
tt0032138,movie,The Wizard of Oz,1939,102,"Adventure,Family,Fantasy",8.1,469174
tt0032143,movie,The Women,1939,133,"Comedy,Drama",7.7,16150
tt0032145,movie,Wuthering Heights,1939,104,"Drama,Romance",7.5,22813
tt0032455,movie,Fantasia,1940,124,"Animation,Family,Fantasy",7.7,111626
tt0032484,movie,Foreign Correspondent,1940,120,"Action,Drama,Romance",7.4,26171
tt0032551,movie,The Grapes of Wrath,1940,129,Drama,8.1,107165
tt0032553,movie,The Great Dictator,1940,125,"Comedy,Drama,War",8.4,258884
tt0032599,movie,His Girl Friday,1940,92,"Comedy,Drama,Romance",7.8,68126
tt0032701,movie,The Letter,1940,95,"Crime,Drama,Film-Noir",7.5,15954
tt0032762,movie,The Mark of Zorro,1940,94,"Action,Adventure,Drama",7.5,11992
tt0032904,movie,The Philadelphia Story,1940,112,"Comedy,Romance",7.8,78742
tt0032910,movie,Pinocchio,1940,88,"Adventure,Animation,Comedy",7.4,173252
tt0032943,movie,Pride and Prejudice,1940,118,"Comedy,Drama,Romance",7.3,10088
tt0032976,movie,Rebecca,1940,130,"Drama,Mystery,Romance",8.0,161504
tt0033028,movie,The Sea Hawk,1940,127,"Action,Adventure,History",7.6,11589
tt0033045,movie,The Shop Around the Corner,1940,99,"Comedy,Drama,Romance",8.0,44365
tt0033149,movie,They Drive by Night,1940,95,"Crime,Drama,Film-Noir",7.2,10083
tt0033152,movie,The Thief of Bagdad,1940,106,"Adventure,Family,Fantasy",7.4,15958
tt0033238,movie,Waterloo Bridge,1940,108,"Drama,Romance,War",7.7,11898
tt0033373,movie,Ball of Fire,1941,111,"Comedy,Romance",7.7,16005
tt0033467,movie,Citizen Kane,1941,119,"Drama,Mystery",8.2,493861
tt0033553,movie,Dr. Jekyll and Mr. Hyde,1941,113,"Drama,Horror,Sci-Fi",6.8,10813
tt0033563,movie,Dumbo,1941,64,"Adventure,Animation,Drama",7.2,150813
tt0033717,movie,High Sierra,1941,100,"Action,Adventure,Drama",7.5,21091
tt0033729,movie,How Green Was My Valley,1941,118,"Drama,Family",7.7,29264
tt0033804,movie,The Lady Eve,1941,94,"Comedy,Romance",7.7,25520
tt0033836,movie,The Little Foxes,1941,116,"Drama,Romance",7.9,14211
tt0033870,movie,The Maltese Falcon,1941,100,"Crime,Drama,Film-Noir",7.9,174588
tt0033891,movie,Meet John Doe,1941,122,"Comedy,Drama,Romance",7.6,16457
tt0033922,movie,Mr. & Mrs. Smith,1941,95,"Comedy,Romance",6.3,12247
tt0034167,movie,Sergeant York,1941,134,"Biography,Drama,History",7.7,20032
tt0034240,movie,Sullivan's Travels,1941,90,"Adventure,Comedy,Drama",7.9,30873
tt0034248,movie,Suspicion,1941,99,"Drama,Film-Noir,Mystery",7.2,45305
tt0034398,movie,The Wolf Man,1941,70,"Horror,Mystery,Romance",7.2,34537
tt0034492,movie,Bambi,1942,69,"Adventure,Animation,Drama",7.3,165826
tt0034583,movie,Casablanca,1942,102,"Drama,Romance,War",8.5,656637
tt0034587,movie,Cat People,1942,73,"Fantasy,Horror,Thriller",7.2,28762
tt0034862,movie,Holiday Inn,1942,100,"Comedy,Drama,Music",7.3,19545
tt0034881,movie,I Married a Witch,1942,77,"Comedy,Fantasy,Romance",7.1,10884
tt0035015,movie,The Magnificent Ambersons,1942,88,"Drama,Romance",7.6,28780
tt0035093,movie,Mrs. Miniver,1942,134,"Drama,Romance,War",7.6,21390
tt0035140,movie,"Now, Voyager",1942,117,"Drama,Romance",7.8,20879
tt0035169,movie,The Palm Beach Story,1942,88,"Comedy,Romance",7.4,13823
tt0035211,movie,The Pride of the Yankees,1942,128,"Biography,Drama,Romance",7.6,12953
tt0035279,movie,Saboteur,1942,109,"Drama,Thriller,War",7.1,29773
tt0035423,movie,Kate & Leopold,2001,118,"Comedy,Fantasy,Romance",6.4,94169
tt0035432,movie,This Gun for Hire,1942,81,"Crime,Drama,Film-Noir",7.3,11676
tt0035446,movie,To Be or Not to Be,1942,99,"Comedy,Romance,War",8.1,50018
tt0035567,movie,Woman of the Year,1942,114,"Comedy,Drama,Romance",7.1,11880
