tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,original_language,is_franchise,budget,revenue
tt5222918,movie,The Other Side of Hope,2017,100,"Comedy,Drama",7.2,14864,fi,False,0.0,1657449.0
tt5225338,movie,The Eyes of My Mother,2016,76,"Drama,Horror,Thriller",6.2,15883,en,False,300000.0,48539.0
tt5229228,movie,61 Days,2016,115,"Drama,History",7.3,17329,tr,False,0.0,0.0
tt5246700,movie,How It Ends,2018,113,"Action,Drama,Horror",5.1,63758,en,False,20000000.0,0.0
tt5247022,movie,Paterson,2016,118,"Comedy,Drama,Romance",7.3,95944,en,False,5000000.0,2152738.0
tt5254610,movie,Final Score,2018,104,"Action,Adventure,Drama",5.8,15426,en,False,20000000.0,1472770.0
tt5254868,movie,The Thinning,2016,81,"Action,Drama,Horror",5.3,11198,en,True,100000.0,0.0
tt5255710,movie,Sanam Teri Kasam,2016,154,"Drama,Musical,Romance",7.6,23106,hi,False,0.0,0.0
tt5258850,movie,See You Up There,2017,117,"Comedy,Crime,Drama",7.4,12233,fr,False,23000000.0,15100000.0
tt5259822,movie,Tesla,2020,102,"Biography,Drama",5.1,11521,en,False,5000000.0,459051.0
tt5270948,movie,Chappaquiddick,2017,106,"Biography,Drama,History",6.4,15449,en,False,34000000.0,17904202.0
tt5275828,movie,Lo and Behold: Reveries of the Connected World,2016,98,Documentary,7.0,13901,en,False,0.0,0.0
tt5275892,movie,O.J.: Made in America,2016,467,"Biography,Crime,Documentary",8.9,23993,en,False,0.0,0.0
tt5278506,movie,Tickled,2016,92,"Crime,Documentary,Mystery",7.4,23029,en,True,0.0,923000.0
tt5278596,movie,Weiner,2016,96,Documentary,7.6,10850,en,False,0.0,0.0
tt5278832,movie,The Lure,2015,92,"Drama,Fantasy,Horror",6.2,11211,pl,False,1300000.0,102986.0
tt5286444,movie,Neerja,2016,122,"Biography,Drama,Thriller",7.6,25247,hi,False,2900000.0,17618280.0
tt5290524,movie,Where Am I Going?,2016,86,Comedy,6.7,14499,it,False,11089000.0,75173000.0
tt5294518,movie,Eli,2019,98,"Drama,Horror,Mystery",5.8,45269,en,False,0.0,0.0
tt5294550,movie,All the Money in the World,2017,132,"Biography,Crime,Drama",6.8,96684,en,False,50000000.0,56996304.0
tt5294966,movie,After the Storm,2016,118,"Comedy,Drama",7.4,14313,ja,False,0.0,272132.0
tt5297256,movie,Pulimurugan,2016,161,Action,6.7,10394,ml,False,3800000.0,29000000.0
tt5301662,movie,Marshall,2017,118,"Biography,Crime,Drama",7.3,29108,en,False,12000000.0,10051659.0
tt5301942,movie,Jersey,2022,170,"Drama,Sport",7.3,15727,hi,False,0.0,0.0
tt5302918,movie,Nyad,2023,121,"Biography,Drama,History",7.1,45025,en,False,0.0,0.0
tt5304464,movie,Happy End,2017,107,Drama,6.6,18088,fr,False,13600000.0,2610794.0
tt5304992,movie,Set It Up,2018,105,"Comedy,Romance",6.5,76439,en,False,0.0,0.0
tt5306972,movie,Kannappa,2025,183,"Action,Drama,Fantasy",4.6,27960,te,False,0.0,0.0
tt5308322,movie,Happy Death Day,2017,96,"Comedy,Horror,Mystery",6.6,187248,en,True,4800000.0,125479266.0
tt5310090,movie,Irudhi Suttru,2016,109,"Drama,Sport",7.6,12990,ta,False,300000.0,2100000.0
tt5311514,movie,Your Name.,2016,106,"Animation,Drama,Fantasy",8.4,396927,ja,False,7500000.0,405320132.0
tt5311542,movie,Never Look Away,2018,189,"Biography,Drama,Romance",7.7,28296,de,False,18000000.0,4831836.0
tt5312232,movie,Sairat,2016,174,"Drama,Romance",8.3,16462,mr,False,600000.0,16500000.0
tt5315210,movie,Lou,2022,107,"Action,Adventure,Crime",6.2,39019,en,False,0.0,0.0
tt5315212,movie,Senior Year,2022,111,"Comedy,Drama",5.5,48413,en,False,0.0,0.0
tt5316540,movie,Close,2019,94,"Action,Drama,Thriller",5.7,28857,en,False,0.0,0.0
tt5322012,movie,Wish Upon,2017,90,"Drama,Fantasy,Horror",5.1,26049,en,False,12000000.0,14300000.0
tt5323662,movie,A Silent Voice: The Movie,2016,130,"Animation,Drama",8.2,145063,ja,False,0.0,30819442.0
tt5325452,movie,Boo! A Madea Halloween,2016,103,"Comedy,Drama,Horror",4.7,10282,en,True,20000000.0,74827344.0
tt5334704,movie,Twin Peaks: The Missing Pieces,2014,91,"Drama,Horror,Mystery",7.5,15731,en,False,0.0,0.0
tt5340300,movie,Lean on Pete,2017,121,"Adventure,Drama,Sport",7.1,14928,en,False,8000000.0,2400000.0
tt5354160,movie,Mirror Game,2016,147,"Crime,Mystery,Thriller",8.9,31064,bn,False,240000.0,720000.0
